timestamp,latency_p50,latency_p99,error_rate,cpu_percent,memory_mb
2025-01-15T14:00:00Z,46.52,104.4,0.001375,39.7,472.98
2025-01-15T14:01:00Z,38.49,121.92,0.000842,34.92,494.94
2025-01-15T14:02:00Z,49.4,131.67,0.001033,40.64,521.35
2025-01-15T14:03:00Z,40.7,125.53,0.000521,39.39,511.0
2025-01-15T14:04:00Z,44.08,109.79,0.001611,34.23,503.43
2025-01-15T14:05:00Z,43.24,127.98,0.001183,37.06,520.62
2025-01-15T14:06:00Z,55.71,113.9,0.000744,30.93,524.32
2025-01-15T14:07:00Z,50.64,118.29,0.00058,30.88,525.01
2025-01-15T14:08:00Z,48.72,128.15,0.000667,36.16,514.33
2025-01-15T14:09:00Z,46.09,133.07,0.001112,38.39,513.35
2025-01-15T14:10:00Z,46.45,129.47,0.000271,33.4,502.59
2025-01-15T14:11:00Z,41.81,115.87,0.001747,30.67,531.37
2025-01-15T14:12:00Z,36.59,114.98,0.001081,37.93,526.22
2025-01-15T14:13:00Z,48.97,114.77,0.000769,39.29,508.17
2025-01-15T14:14:00Z,38.62,103.0,0.00054,37.49,514.85
2025-01-15T14:15:00Z,55.72,130.63,0.001241,43.85,581.69
2025-01-15T14:16:00Z,52.01,121.08,0.0009,36.4,536.89
2025-01-15T14:17:00Z,49.81,118.61,0.001057,39.27,546.98
2025-01-15T14:18:00Z,48.33,118.52,0.000788,34.6,478.25
2025-01-15T14:19:00Z,37.76,100.16,0.000501,37.0,493.89
2025-01-15T14:20:00Z,43.11,139.49,0.000822,38.69,493.33
2025-01-15T14:21:00Z,43.97,105.75,0.00083,39.2,477.45
2025-01-15T14:22:00Z,47.17,123.57,0.000703,27.77,513.44
2025-01-15T14:23:00Z,42.35,123.49,0.001011,43.01,507.21
2025-01-15T14:24:00Z,39.88,122.69,0.00111,41.8,528.7
2025-01-15T14:25:00Z,46.78,141.95,0.000406,31.8,493.47
2025-01-15T14:26:00Z,43.05,99.35,0.001318,33.89,482.58
2025-01-15T14:27:00Z,39.92,124.7,0.001419,44.98,570.28
2025-01-15T14:28:00Z,47.07,105.16,0.0,36.34,495.74
2025-01-15T14:29:00Z,42.92,110.82,0.00093,40.33,515.14
2025-01-15T14:30:00Z,44.21,104.47,0.000163,32.57,510.92
2025-01-15T14:31:00Z,53.84,121.95,0.001491,32.5,488.3
2025-01-15T14:32:00Z,40.17,109.12,0.002064,30.89,528.77
2025-01-15T14:33:00Z,40.49,133.97,0.001192,34.22,511.18
2025-01-15T14:34:00Z,41.73,126.69,0.000773,28.87,486.44
2025-01-15T14:35:00Z,45.86,143.69,0.00108,34.41,517.72
2025-01-15T14:36:00Z,51.53,123.29,0.000795,40.53,520.58
2025-01-15T14:37:00Z,52.68,122.75,0.000388,28.16,545.02
2025-01-15T14:38:00Z,53.62,117.31,0.000808,42.31,489.86
2025-01-15T14:39:00Z,40.53,129.65,0.000803,34.97,508.73
2025-01-15T14:40:00Z,46.69,141.11,0.001045,38.22,471.0
2025-01-15T14:41:00Z,44.76,107.35,0.000391,30.61,505.32
2025-01-15T14:42:00Z,49.58,100.1,0.001015,32.58,505.45
2025-01-15T14:43:00Z,50.01,128.07,0.001669,34.23,498.08
2025-01-15T14:44:00Z,43.88,123.64,0.001088,29.58,513.81
2025-01-15T14:45:00Z,46.14,157.76,0.001938,30.73,506.25
2025-01-15T14:46:00Z,37.68,111.14,0.001158,41.03,497.42
2025-01-15T14:47:00Z,41.73,87.79,0.000919,29.69,501.41
2025-01-15T14:48:00Z,40.62,118.59,0.000121,27.66,554.58
2025-01-15T14:49:00Z,38.56,103.55,0.001918,49.53,488.57
2025-01-15T14:50:00Z,43.16,125.12,0.001864,30.07,507.09
2025-01-15T14:51:00Z,48.89,126.52,0.000812,34.33,484.5
2025-01-15T14:52:00Z,43.81,116.0,0.001116,32.22,521.43
2025-01-15T14:53:00Z,50.06,122.33,0.001176,35.27,512.0
2025-01-15T14:54:00Z,41.39,124.75,0.000951,45.47,543.47
2025-01-15T14:55:00Z,46.93,108.55,0.000444,40.96,517.25
2025-01-15T14:56:00Z,47.4,93.83,0.001464,37.27,489.79
2025-01-15T14:57:00Z,42.64,123.96,0.001026,33.54,509.93
2025-01-15T14:58:00Z,43.74,122.29,0.001736,22.17,507.26
2025-01-15T14:59:00Z,45.88,124.44,0.000814,26.22,518.56
