timestamp,latency_p50,latency_p99,error_rate,cpu_percent,memory_mb
2025-01-15T14:00:00Z,40.76,121.03,0.000375,27.08,524.65
2025-01-15T14:01:00Z,42.65,137.8,0.001187,24.29,503.56
2025-01-15T14:02:00Z,39.45,114.56,0.001045,38.97,481.47
2025-01-15T14:03:00Z,38.59,112.2,0.000384,29.84,519.59
2025-01-15T14:04:00Z,36.23,99.13,0.002144,25.57,487.52
2025-01-15T14:05:00Z,44.87,107.15,0.001156,33.92,528.39
2025-01-15T14:06:00Z,43.87,136.06,0.00097,33.79,503.12
2025-01-15T14:07:00Z,45.3,128.23,0.000935,38.69,523.25
2025-01-15T14:08:00Z,46.09,117.07,0.000503,29.66,527.45
2025-01-15T14:09:00Z,50.95,92.38,0.002008,33.28,497.62
2025-01-15T14:10:00Z,43.92,93.19,0.00037,37.28,503.43
2025-01-15T14:11:00Z,47.59,117.5,0.001557,28.76,508.77
2025-01-15T14:12:00Z,39.95,114.34,0.001263,38.81,509.43
2025-01-15T14:13:00Z,46.94,96.1,0.000618,38.87,528.04
2025-01-15T14:14:00Z,38.58,125.02,0.000112,40.96,491.3
2025-01-15T14:15:00Z,48.13,149.81,0.001421,34.26,580.47
2025-01-15T14:16:00Z,57.35,134.37,0.0002,49.91,570.47
2025-01-15T14:17:00Z,42.9,88.56,0.000318,31.08,530.2
2025-01-15T14:18:00Z,38.33,117.32,0.000877,47.47,534.47
2025-01-15T14:19:00Z,44.76,108.39,0.0,24.11,514.33
2025-01-15T14:20:00Z,51.5,136.44,0.000496,33.1,516.55
2025-01-15T14:21:00Z,38.42,129.98,0.001181,39.7,531.52
2025-01-15T14:22:00Z,49.6,106.35,0.000129,37.05,490.32
2025-01-15T14:23:00Z,39.87,124.33,0.000848,37.45,548.71
2025-01-15T14:24:00Z,43.72,104.92,0.001054,35.35,547.87
2025-01-15T14:25:00Z,48.93,119.63,0.00069,41.46,497.21
2025-01-15T14:26:00Z,37.97,85.13,0.001457,34.64,524.07
2025-01-15T14:27:00Z,41.25,103.73,0.000704,33.36,487.78
2025-01-15T14:28:00Z,52.29,137.06,0.00231,34.74,521.48
2025-01-15T14:29:00Z,49.62,122.55,0.001495,34.17,490.38
2025-01-15T14:30:00Z,44.11,127.39,0.001142,27.3,493.37
2025-01-15T14:31:00Z,46.62,113.13,0.000982,38.47,484.67
2025-01-15T14:32:00Z,45.22,115.26,0.000688,36.41,476.73
2025-01-15T14:33:00Z,49.15,112.65,0.001039,34.26,499.49
2025-01-15T14:34:00Z,48.22,98.97,0.000734,34.04,515.77
2025-01-15T14:35:00Z,50.91,127.37,0.001654,36.72,478.52
2025-01-15T14:36:00Z,41.7,131.49,0.001491,35.35,503.12
2025-01-15T14:37:00Z,44.27,114.82,0.000815,39.04,486.92
2025-01-15T14:38:00Z,43.79,127.05,0.000631,38.79,494.8
2025-01-15T14:39:00Z,37.54,102.02,0.001743,47.21,526.87
2025-01-15T14:40:00Z,42.05,109.79,0.001093,38.16,526.41
2025-01-15T14:41:00Z,41.82,123.52,0.000993,35.97,482.0
2025-01-15T14:42:00Z,45.8,128.17,0.000935,33.82,500.31
2025-01-15T14:43:00Z,45.56,83.41,0.001089,34.77,542.34
2025-01-15T14:44:00Z,47.11,128.3,0.002288,31.5,532.56
2025-01-15T14:45:00Z,38.76,94.89,0.000623,39.8,466.56
2025-01-15T14:46:00Z,51.47,98.31,0.000953,38.52,559.1
2025-01-15T14:47:00Z,43.52,101.17,0.001307,33.56,538.92
2025-01-15T14:48:00Z,46.48,137.91,0.000899,22.22,490.22
2025-01-15T14:49:00Z,41.22,134.64,0.001239,37.09,501.24
2025-01-15T14:50:00Z,47.03,134.45,0.000788,36.06,465.22
2025-01-15T14:51:00Z,45.58,104.92,0.000921,34.48,513.4
2025-01-15T14:52:00Z,39.85,122.11,0.000902,33.37,543.32
2025-01-15T14:53:00Z,41.34,99.01,0.000683,39.09,485.98
2025-01-15T14:54:00Z,54.15,129.4,0.000719,37.74,535.82
2025-01-15T14:55:00Z,42.74,106.99,0.000891,35.52,501.47
2025-01-15T14:56:00Z,44.32,116.8,0.001162,37.63,546.35
2025-01-15T14:57:00Z,47.69,111.61,0.001139,29.79,506.16
2025-01-15T14:58:00Z,43.01,137.3,0.001011,32.02,532.1
2025-01-15T14:59:00Z,51.75,126.23,0.000523,25.02,517.88
