timestamp,latency_p50,latency_p99,error_rate,cpu_percent,memory_mb
2025-01-15T14:00:00Z,40.05,114.48,0.001644,35.97,530.4
2025-01-15T14:01:00Z,47.89,110.45,0.001271,33.42,505.55
2025-01-15T14:02:00Z,45.49,97.11,0.001596,31.64,532.01
2025-01-15T14:03:00Z,45.68,142.98,0.00067,33.44,518.76
2025-01-15T14:04:00Z,33.96,132.42,0.001771,40.63,527.1
2025-01-15T14:05:00Z,44.27,139.23,0.001537,36.96,512.1
2025-01-15T14:06:00Z,43.19,101.55,0.001613,24.14,504.6
2025-01-15T14:07:00Z,45.82,132.9,0.001881,39.97,506.17
2025-01-15T14:08:00Z,48.64,101.08,0.001715,34.22,498.52
2025-01-15T14:09:00Z,41.8,119.08,0.000804,46.45,497.64
2025-01-15T14:10:00Z,45.16,120.42,0.001014,35.28,502.37
2025-01-15T14:11:00Z,42.08,107.07,0.000256,36.08,531.69
2025-01-15T14:12:00Z,42.28,111.62,0.000842,32.7,483.27
2025-01-15T14:13:00Z,51.83,126.58,0.000644,36.49,503.23
2025-01-15T14:14:00Z,43.94,125.46,0.001476,42.6,546.08
2025-01-15T14:15:00Z,50.32,129.38,0.001207,40.99,571.91
2025-01-15T14:16:00Z,46.09,145.42,0.002003,37.25,548.94
2025-01-15T14:17:00Z,45.76,110.33,0.000907,38.97,535.89
2025-01-15T14:18:00Z,51.17,122.26,0.001241,34.26,538.31
2025-01-15T14:19:00Z,38.89,115.45,0.000413,39.13,529.01
2025-01-15T14:20:00Z,42.42,144.87,0.000851,28.08,506.38
2025-01-15T14:21:00Z,46.8,116.48,0.002133,39.28,546.63
2025-01-15T14:22:00Z,51.93,94.71,0.000811,21.36,499.07
2025-01-15T14:23:00Z,50.58,107.35,0.000682,36.63,527.75
2025-01-15T14:24:00Z,43.22,116.16,0.001404,36.27,506.29
2025-01-15T14:25:00Z,46.57,121.14,0.001127,45.01,505.9
2025-01-15T14:26:00Z,42.3,141.2,0.000647,43.6,508.12
2025-01-15T14:27:00Z,45.37,131.0,0.001607,39.98,507.93
2025-01-15T14:28:00Z,43.17,125.21,0.001067,31.79,520.21
2025-01-15T14:29:00Z,49.97,122.5,0.001782,37.05,508.88
2025-01-15T14:30:00Z,45.5,111.6,0.000484,37.38,494.93
2025-01-15T14:31:00Z,43.21,118.66,0.001193,37.31,513.08
2025-01-15T14:32:00Z,35.34,116.9,0.000612,34.44,531.83
2025-01-15T14:33:00Z,49.02,123.3,0.001253,27.56,515.9
2025-01-15T14:34:00Z,48.12,109.41,0.001202,33.1,532.01
2025-01-15T14:35:00Z,50.54,111.98,0.001731,34.05,553.24
2025-01-15T14:36:00Z,42.54,120.96,0.001107,31.25,477.49
2025-01-15T14:37:00Z,41.0,136.19,0.000836,33.37,542.34
2025-01-15T14:38:00Z,47.47,130.53,0.001425,30.46,514.49
2025-01-15T14:39:00Z,45.75,117.62,0.000453,37.32,478.83
2025-01-15T14:40:00Z,40.31,107.86,0.000794,39.21,545.13
2025-01-15T14:41:00Z,53.61,132.09,0.00122,23.32,534.6
2025-01-15T14:42:00Z,58.14,126.79,0.001117,38.49,526.57
2025-01-15T14:43:00Z,45.67,114.39,0.001181,28.14,474.35
2025-01-15T14:44:00Z,51.8,113.13,0.001358,42.77,536.41
2025-01-15T14:45:00Z,42.23,124.87,0.000417,34.48,532.92
2025-01-15T14:46:00Z,45.16,77.23,0.0,30.99,538.66
2025-01-15T14:47:00Z,46.0,122.12,0.000342,35.73,466.5
2025-01-15T14:48:00Z,46.71,137.69,0.000591,40.42,497.6
2025-01-15T14:49:00Z,45.74,117.96,0.001047,42.63,529.62
2025-01-15T14:50:00Z,41.61,78.53,0.001447,38.82,515.31
2025-01-15T14:51:00Z,42.21,143.98,0.000106,31.08,482.67
2025-01-15T14:52:00Z,46.86,113.0,0.002056,35.09,507.22
2025-01-15T14:53:00Z,47.86,109.02,0.000458,37.68,502.22
2025-01-15T14:54:00Z,49.88,125.02,0.001058,35.34,510.27
2025-01-15T14:55:00Z,47.04,114.04,2.1e-05,35.39,502.79
2025-01-15T14:56:00Z,38.12,131.71,0.00081,26.27,510.5
2025-01-15T14:57:00Z,41.63,94.48,0.001156,29.75,526.37
2025-01-15T14:58:00Z,40.51,134.66,0.001213,35.54,496.88
2025-01-15T14:59:00Z,49.52,127.55,0.000819,37.9,491.49
